year;Disputes;Workers involved;Working days lost
1830;40;2580;0
1831;49;200;0
1832;51;7000;7000
1833;90;7327;2250
1834;55;21915;200
1835;32;730;650
1836;55;600;0
1837;51;730;0
1838;44;0;0
1839;64;320;320
1840;130;3400;0
1841;68;1415;900
1842;62;935;0
1843;49;2600;100
1844;53;300;0
1845;48;1606;0
1846;53;3865;14597
1847;55;1272;7505
1848;94;1600;0
1849;65;0;0
1850;45;;
1851;55;60;0
1852;86;0;0
1853;109;0;0
1854;68;0;0
1855;168;2300;0
1856;73;20;0
1857;55;125;0
1858;53;450;0
1859;58;20;0
1860;58;0;0
1861;63;0;0
1862;44;267;0
1863;29;50;0
1864;21;3000;0
1865;58;27600;123200
1866;52;14000;0
1867;76;32100;54080
1868;58;20300;10668
1869;72;40600;112040
1870;116;88200;0
1871;52;14100;0
1872;151;21100;28400
1873;44;4900;0
1874;58;7800;0
1875;101;16600;
1876;102;21200;196000
1877;55;12900;8000
1878;73;38500;0
1879;88;54400;518936
1880;190;110400;727784
1881;209;68000;491250
1882;271;65500;638940
1883;181;42000;280
1884;112;33900;428411
1885;123;20800;567580
1886;195;35300;520664
1887;194;38100;149090
1888;188;51500;503645
1889;199;89100;1540580
1890;313;119444;1340000
1891;267;108886;1717000
1892;261;45893;918000
1893;634;173089;3175000
1894;391;54366;1062000
1895;405;46033;617000
1896;476;49850;644000
1897;356;68455;781000
1898;368;82060;1216000
1899;739;178024;3551000
1900;902;222390;3761000
1901;523;111457;1862000
1902;512;212727;4675000
1903;567;120545;2442000
1904;1026;272709;3935000
1905;830;178567;2747000
1906;1309;500261;9439000
1907;1275;225224;3562000
1908;1073;125301;1752000
1909;1025;178962;3560000
1910;1502;286799;4830000
1911;1471;228089;4096000
1912;1116;270887;2318000
1913;1073;226486;2224000
1914;672;161574;2187000
1915;98;9000;55000
1916;314;41000;236000
1917;696;294000;1482000
1918;499;176000;980000
1919;2026;1151000;15478000
1920;1832;1317000;23112000
1921;475;402000;7027000
1922;665;290000;3935000
1923;1068;331000;4172000
1924;1083;275000;3863000
1925;931;249000;2046000
1926;1660;349000;4072000
1927;404;112634;1046019
1928;823;210488;6376675
1929;1217;241040;2764606
1930;1097;584579;7209342
1931;288;54250;949564
1932;362;71561;2244281
1933;343;87091;1199334
1934;385;100584;2393463
1935;376;108884;1182159
1936;17091;2422844;.
1937;2616;323777;.
1938;1220;1133461;.
1939;.;.;.
1940;.;.;.
1941;.;.;.
1942;.;.;.
1943;.;.;.
1944;.;.;.
1945;.;.;.
1946;528;180067;386468
1947;2285;2997559;22673285
1948;1425;6561176;13133313
1949;1426;4329959;7129150
1950;2586;1527293;11728791
1951;2514;1754000;3495476
1952;1749;1155693;1732577
1953;1761;1783693;9722111
1954;1479;1318947;1440145
1955;2672;1060613;3078706
1956;2440;981676;1422539
1957;2623;2963837;4121317
1958;954;1112459;1137741
1959;1512;939798;1938427
1960;1494;1071513;1069958
1961;1963;2551821;2600570
1962;1884;1472448;1901456
1963;2382;2646095;5991495
1964;2281;2603057;2496791
1965;1674;1237071;979861
1966;1711;3341003;2523488
1967;1675;2823619;4203509
1968;.;.;.
1969;2480;1443600;2223568
1970;3319;1159619;1742175
1971;4318;3234500;4387781
1972;3464;2721348;3755343
1973;3731;2245973;3914598
1974;3381;1563540;3379977
1975;3888;1827142;3868926
1976;4348;2022500;4054903
1977;3281;1919900;2434300
1978;3195;704800;2081000
1979;3121;967200;3172300
1980;2118;500800;1522900
1981;2405;329000;1441600
1982;3113;397700;2250200
1983;2837;37800;1321000
1984;2537;42100;1316800
1985;1901;22800;726700
1986;1391;21800;567600
1987;1391;18600;511500
1988;1852;27200;1094000
1989;2040;20300;800225
1990;1790;18500;528000
1991;1572;18800;497300
1992;1494;16300;359200
1993;1472;19900;510900
1994;1671;18000;500500
1995;2066;43477;784000
1996;1439;11364;444100
1997;1607;12161;393380
1998;1475;10106;345600
1999;2319;14908;568135
2000;2768;18520;807758
2001;2131;11884;691914
2002;745;66700;248114
2003;785;62500;223795
2004;699;60400;193423
2005;;;1997000
2006;;;1421400
2007;;;1553000
2008;;;1418500
2009;;;1662397,8
2010;;;3850375,4
2011;;;
2012;;;
2013;;;
2014;;;
2015;;;
